,token,ner_tag
437,O,while
438,O,shooting
439,O,this
440,B-Opinion,pivotal
441,B-Genre,counterculture
442,O,film
443,B-Actor,paul
444,I-Actor,newman
445,O,was
446,O,said
447,O,to
448,O,have
449,O,eaten
450,O,over
451,O,fifty
452,O,boiled
453,O,eggs
454,O,in
455,O,a
456,O,single
457,O,afternoon
458,O,what
459,B-Year,2012
460,O,movie
461,O,revived
462,O,the
463,B-Relationship,american
464,I-Relationship,pie
465,I-Relationship,chain
466,O,by
467,O,bringing
468,O,back
469,B-Actor,jason
470,I-Actor,biggs
471,I-Actor,alyson
472,I-Actor,hannigan
473,O,and
474,O,most
475,O,of
476,O,the
477,O,rest
478,O,of
479,O,the
480,O,cast
481,O,from
482,O,the
483,O,original
484,O,film
485,O,based
486,O,on
487,O,a
488,B-Genre,graphic
489,I-Genre,novel
490,O,this
491,O,film
492,O,stars
493,O,actor
494,B-Actor,mickey
495,I-Actor,rourke
496,O,and
497,O,features
498,O,others
499,O,such
500,O,as
501,B-Actor,jessica
502,I-Actor,alba
503,I-Actor,carla
504,I-Actor,gugino
505,I-Actor,bruce
506,I-Actor,willis
507,I-Actor,and
508,I-Actor,tobey
509,I-Actor,maguire
510,O,what
511,B-Year,2000
512,O,movie
513,O,is
514,O,the
515,B-Plot,story
516,I-Plot,of
517,I-Plot,two
518,I-Plot,warriors
519,I-Plot,chasing
520,I-Plot,down
521,I-Plot,a
522,I-Plot,stolen
523,I-Plot,sword
524,I-Plot,run
525,I-Plot,into
526,I-Plot,a
527,I-Plot,skilled
528,I-Plot,nobleman
529,I-Plot,s
530,I-Plot,daughter
531,O,i
532,O,m
533,O,thinking
534,O,of
535,O,a
536,O,movie
537,O,with
538,B-Actor,leo
539,I-Actor,dicaprio
540,O,in
541,O,which
542,B-Plot,he
543,I-Plot,enters
544,I-Plot,the
545,I-Plot,human
546,I-Plot,mind
547,I-Plot,through
548,I-Plot,their
549,I-Plot,dreams
550,B-Plot,a
551,I-Plot,young
552,I-Plot,girl
553,I-Plot,lets
554,I-Plot,three
555,I-Plot,strangers
556,I-Plot,escort
557,I-Plot,her
558,I-Plot,to
559,I-Plot,see
560,I-Plot,a
561,I-Plot,strange
562,I-Plot,gentleman
563,I-Plot,that
564,I-Plot,is
565,I-Plot,fond
566,I-Plot,of
567,I-Plot,magic
568,I-Plot,tricks
569,O,released
570,O,in
571,B-Year,1967
572,O,this
573,O,film
574,O,featured
575,O,a
576,O,major
577,O,cast
578,O,of
579,O,stars
580,O,portraying
581,B-Plot,a
582,I-Plot,group
583,I-Plot,of
584,I-Plot,enlisted
585,I-Plot,convicts
586,I-Plot,in
587,I-Plot,wwii
588,I-Plot,led
589,I-Plot,by
590,B-Actor,lee
591,I-Actor,marvin
592,O,i
593,O,am
594,O,thinking
595,O,of
596,O,the
597,O,award
598,O,winning
599,B-Director,steven
600,I-Director,spielberg
601,O,film
602,O,that
603,O,stars
604,B-Actor,tom
605,I-Actor,hanks
606,O,as
607,B-Plot,an
608,I-Plot,army
609,I-Plot,captain
610,I-Plot,on
611,I-Plot,a
612,I-Plot,mission
613,I-Plot,to
614,I-Plot,rescue
615,I-Plot,the
616,I-Plot,sole
617,I-Plot,survivor
618,I-Plot,of
619,I-Plot,four
620,I-Plot,enlisted
621,I-Plot,brothers
622,I-Plot,after
623,I-Plot,the
624,I-Plot,invasion
625,I-Plot,of
626,I-Plot,normandy
627,O,what
628,O,is
629,O,the
630,O,movie
631,O,about
632,B-Character_Name,luke
633,I-Character_Name,skywalker
634,B-Plot,breaking
635,I-Plot,free
636,I-Plot,from
637,I-Plot,his
638,I-Plot,aunt
639,I-Plot,and
640,I-Plot,uncle
641,I-Plot,to
642,I-Plot,rescue
643,B-Character_Name,princess
644,I-Character_Name,leia
645,O,what
646,O,is
647,O,the
648,O,film
649,O,based
650,O,off
651,O,the
652,O,children
653,O,s
654,O,rhyme
655,O,about
656,O,the
657,B-Plot,couple
658,I-Plot,who
659,I-Plot,go
660,I-Plot,over
661,I-Plot,the
662,I-Plot,hill
663,O,what
664,O,is
665,O,that
666,O,film
667,O,starring
668,B-Actor,julia
669,I-Actor,roberts
670,O,who
671,O,plays
672,O,a
673,B-Plot,middle
674,I-Plot,aged
675,I-Plot,woman
676,I-Plot,who
677,I-Plot,decides
678,I-Plot,to
679,I-Plot,embark
680,I-Plot,on
681,I-Plot,an
682,I-Plot,adventure
683,I-Plot,and
684,I-Plot,goes
685,I-Plot,to
686,I-Plot,bali
687,O,im
688,O,thinking
689,O,of
690,O,a
691,O,movie
692,O,where
693,B-Plot,a
694,I-Plot,manhattan
695,I-Plot,couple
696,I-Plot,are
697,I-Plot,suddenly
698,I-Plot,dealing
699,I-Plot,with
700,I-Plot,the
701,I-Plot,issue
702,I-Plot,of
703,I-Plot,employment
704,I-Plot,and
705,I-Plot,move
706,I-Plot,to
707,I-Plot,a
708,I-Plot,community
709,I-Plot,where
710,I-Plot,free
711,I-Plot,love
712,I-Plot,rules
713,O,fuck
714,O,you
715,O,thunder
716,O,your
717,O,just
718,O,gods
719,O,farts
720,O,which
721,O,film
722,O,is
723,O,about
724,B-Plot,a
725,I-Plot,group
726,I-Plot,of
727,I-Plot,seemingly
728,I-Plot,unrelated
729,I-Plot,characters
730,I-Plot,being
731,I-Plot,isolated
732,I-Plot,and
733,I-Plot,tortured
734,I-Plot,by
735,I-Plot,the
736,I-Plot,villain
737,B-Character_Name,jigsaw
738,O,what
739,O,is
740,O,the
741,O,name
742,O,of
743,O,the
744,B-Genre,animated
745,O,film
746,O,based
747,O,on
748,B-Plot,a
749,I-Plot,clown
750,I-Plot,fish
751,I-Plot,who
752,I-Plot,has
753,I-Plot,lost
754,I-Plot,his
755,I-Plot,son
756,O,i
757,O,am
758,O,thinking
759,O,of
760,O,the
761,O,film
762,O,adaptation
763,O,of
764,O,the
765,B-Origin,fannie
766,I-Origin,flagg
767,I-Origin,novel
768,O,that
769,O,stars
770,B-Actor,jessica
771,I-Actor,tandy
772,O,and
773,B-Actor,kathy
774,I-Actor,bates
775,O,and
776,B-Plot,tells
777,I-Plot,the
778,I-Plot,tale
779,I-Plot,of
780,I-Plot,a
781,I-Plot,strong
782,I-Plot,bond
783,I-Plot,between
784,I-Plot,two
785,I-Plot,depression
786,I-Plot,era
787,I-Plot,women
788,O,i
789,O,want
790,O,to
791,O,see
792,O,that
793,O,movie
794,O,with
795,B-Actor,jonah
796,I-Actor,hill
797,O,who
798,O,has
799,O,to
800,B-Plot,bring
801,I-Plot,an
802,I-Plot,alcoholic
803,I-Plot,english
804,I-Plot,rockstar
805,I-Plot,playboy
806,I-Plot,nuisance
807,I-Plot,to
808,I-Plot,his
809,I-Plot,destination
810,I-Plot,before
811,I-Plot,a
812,I-Plot,set
813,I-Plot,time
814,O,what
815,O,movie
816,O,features
817,O,psychopath
818,B-Character_Name,norman
819,I-Character_Name,bates
820,O,and
821,O,the
822,O,most
823,B-Opinion,famous
824,I-Opinion,shower
825,I-Opinion,scene
826,I-Opinion,in
827,I-Opinion,cinematic
828,I-Opinion,history
829,O,this
830,O,movie
831,O,is
832,O,about
833,B-Plot,a
834,I-Plot,street
835,I-Plot,urchin
836,I-Plot,accidentally
837,I-Plot,meets
838,I-Plot,princess
839,B-Character_Name,jasmine
840,B-Plot,who
841,I-Plot,is
842,I-Plot,in
843,I-Plot,the
844,I-Plot,city
845,I-Plot,undercover
846,I-Plot,they
847,I-Plot,love
848,I-Plot,each
849,I-Plot,other
850,I-Plot,but
851,I-Plot,she
852,I-Plot,can
853,I-Plot,only
854,I-Plot,marry
855,I-Plot,a
856,I-Plot,prince
857,O,what
858,O,s
859,O,the
860,O,movie
861,O,where
862,O,the
863,B-Genre,myth
864,O,of
865,O,gangster
866,B-Character_Name,keiser
867,I-Character_Name,soze
868,O,is
869,B-Plot,recounted
870,O,from
871,O,different
872,B-Plot,perspectives
873,O,what
874,O,is
875,O,the
876,O,name
877,O,of
878,O,the
879,O,movie
880,O,where
881,B-Actor,jeremy
882,I-Actor,renner
883,O,plays
884,B-Plot,the
885,I-Plot,sergeant
886,I-Plot,of
887,I-Plot,an
888,I-Plot,army
889,I-Plot,bomb
890,I-Plot,squad
891,I-Plot,unit
892,I-Plot,during
893,I-Plot,the
894,I-Plot,iraq
895,I-Plot,war
896,O,what
897,O,is
898,O,this
899,B-Year,1972
900,O,iconic
901,B-Genre,american
902,B-Opinion,epic
903,B-Genre,crime
904,O,film
905,O,about
906,B-Plot,a
907,I-Plot,man
908,I-Plot,who
909,I-Plot,has
910,I-Plot,an
911,I-Plot,offer
912,I-Plot,you
913,I-Plot,ca
914,I-Plot,n
915,I-Plot,t
916,I-Plot,refuse
917,O,i
918,O,am
919,O,thinking
920,O,of
921,O,a
922,O,film
923,O,that
924,O,was
925,O,based
926,O,on
927,O,a
928,B-Origin,classic
929,I-Origin,literary
930,I-Origin,novel
931,I-Origin,written
932,I-Origin,by
933,I-Origin,emily
934,I-Origin,bronte
935,B-Plot,about
936,I-Plot,a
937,I-Plot,boy
938,I-Plot,named
939,B-Character_Name,heathcliff
940,O,this
941,B-Actor,gene
942,I-Actor,kelly
943,B-Opinion,classic
944,O,has
945,B-Plot,three
946,I-Plot,friends
947,I-Plot,struggling
948,I-Plot,to
949,I-Plot,find
950,I-Plot,work
951,I-Plot,in
952,I-Plot,paris
953,I-Plot,things
954,I-Plot,become
955,I-Plot,more
956,I-Plot,complicated
957,I-Plot,when
958,I-Plot,two
959,I-Plot,of
960,I-Plot,them
961,I-Plot,fall
962,I-Plot,in
963,I-Plot,love
964,I-Plot,with
965,I-Plot,the
966,I-Plot,same
967,I-Plot,woman
968,O,in
969,O,this
970,B-Year,2012
971,O,movie
972,B-Actor,chris
973,I-Actor,pine
974,O,and
975,B-Actor,tom
976,I-Actor,hardy
977,O,are
978,B-Plot,cia
979,I-Plot,agents
980,I-Plot,fighting
981,I-Plot,each
982,I-Plot,other
983,I-Plot,over
984,I-Plot,a
985,I-Plot,girl
986,O,what
987,O,is
988,O,the
989,O,movie
990,O,that
991,O,s
992,O,based
993,O,on
994,B-Plot,a
995,I-Plot,man
996,I-Plot,who
997,I-Plot,goes
998,I-Plot,on
999,I-Plot,adventures
1000,I-Plot,and
1001,I-Plot,meets
1002,I-Plot,both
1003,I-Plot,giants
1004,I-Plot,and
1005,I-Plot,very
1006,I-Plot,small
1007,I-Plot,people
1008,O,which
1009,O,of
1010,O,these
1011,O,movies
1012,O,came
1013,O,out
1014,O,in
1015,B-Year,2010
1016,O,and
1017,O,starred
1018,B-Actor,jake
1019,I-Actor,gyllenhaal
1020,O,in
1021,O,a
1022,B-Director,pg
1023,I-Director,13
1024,B-Genre,disney
1025,O,movie
1026,O,what
1027,O,is
1028,O,the
1029,O,movie
1030,O,where
1031,O,an
1032,B-Plot,unappreciated
1033,I-Plot,villain
1034,I-Plot,in
1035,I-Plot,a
1036,I-Plot,video
1037,I-Plot,games
1038,I-Plot,leaves
1039,I-Plot,his
1040,I-Plot,game
1041,I-Plot,and
1042,I-Plot,enters
1043,I-Plot,others
1044,O,what
1045,O,movie
1046,O,about
1047,B-Plot,a
1048,I-Plot,rambunctious
1049,I-Plot,rock
1050,I-Plot,star
1051,I-Plot,was
1052,I-Plot,a
1053,B-Relationship,spin
1054,I-Relationship,off
1055,I-Relationship,to
1056,I-Relationship,the
1057,I-Relationship,comedy
1058,I-Relationship,forgetting
1059,I-Relationship,sarah
1060,I-Relationship,marshall
1061,O,what
1062,O,is
1063,O,the
1064,O,movie
1065,O,directed
1066,O,by
1067,B-Director,quentin
1068,I-Director,tarantino
1069,O,about
1070,B-Plot,a
1071,I-Plot,jewelry
1072,I-Plot,heist
1073,I-Plot,that
1074,I-Plot,goes
1075,I-Plot,wrong
1076,O,i
1077,O,m
1078,O,thinking
1079,O,of
1080,O,the
1081,O,epic
1082,O,movie
1083,B-Origin,based
1084,I-Origin,on
1085,I-Origin,the
1086,I-Origin,book
1087,I-Origin,by
1088,I-Origin,j
1089,I-Origin,r
1090,I-Origin,r
1091,I-Origin,tolkien
1092,O,featuring
1093,B-Plot,hobbits
1094,I-Plot,wizards
1095,I-Plot,elves
1096,I-Plot,and
1097,I-Plot,a
1098,I-Plot,dark
1099,I-Plot,magic
1100,O,a
1101,B-Genre,suspense
1102,I-Genre,horror
1103,O,film
1104,O,which
1105,B-Plot,has
1106,I-Plot,a
1107,I-Plot,mind
1108,I-Plot,blowing
1109,I-Plot,character
1110,I-Plot,who
1111,I-Plot,is
1112,I-Plot,portrait
1113,I-Plot,as
1114,I-Plot,mentally
1115,I-Plot,ill
1116,O,this
1117,O,movie
1118,O,s
1119,B-Origin,retelling
1120,I-Origin,of
1121,I-Origin,the
1122,I-Origin,classic
1123,I-Origin,fairytale
1124,B-Plot,does
1125,I-Plot,n
1126,I-Plot,t
1127,I-Plot,have
1128,I-Plot,the
1129,I-Plot,princess
1130,I-Plot,falling
1131,I-Plot,in
1132,I-Plot,love
1133,I-Plot,with
1134,I-Plot,the
1135,I-Plot,prince
1136,I-Plot,at
1137,I-Plot,the
1138,I-Plot,end
1139,O,this
1140,B-Year,1982
1141,O,film
1142,O,which
1143,O,also
1144,O,starred
1145,B-Actor,james
1146,I-Actor,earl
1147,I-Actor,jones
1148,O,as
1149,B-Character_Name,thulsa
1150,I-Character_Name,doom
1151,O,was
1152,O,the
1153,B-Opinion,first
1154,I-Opinion,box
1155,I-Opinion,office
1156,I-Opinion,success
1157,O,for
1158,O,austrian
1159,O,bodybuilder
1160,B-Actor,arnold
1161,I-Actor,schwarzenegger
1162,O,what
1163,O,war
1164,O,was
1165,O,taking
1166,O,place
1167,O,during
1168,O,the
1169,O,movie
1170,O,this
1171,B-Genre,classic
1172,I-Genre,horror
1173,O,movie
1174,O,involves
1175,B-Plot,a
1176,I-Plot,young
1177,I-Plot,priest
1178,I-Plot,and
1179,I-Plot,an
1180,I-Plot,old
1181,I-Plot,priest
1182,I-Plot,removing
1183,I-Plot,a
1184,I-Plot,demon
1185,I-Plot,spirit
1186,I-Plot,from
1187,I-Plot,a
1188,I-Plot,little
1189,I-Plot,girl
1190,O,this
1191,O,in
1192,O,theater
1193,O,experience
1194,O,features
1195,B-Plot,the
1196,I-Plot,equally
1197,I-Plot,loved
1198,I-Plot,and
1199,I-Plot,hated
1200,I-Plot,pop
1201,I-Plot,icon
1202,O,from
1203,O,canada
1204,B-Plot,who
1205,I-Plot,some
1206,I-Plot,say
1207,I-Plot,looks
1208,I-Plot,like
1209,I-Plot,ellen
1210,I-Plot,degeneres
1211,O,what
1212,B-Genre,gangster
1213,O,film
1214,O,starring
1215,B-Actor,tom
1216,I-Actor,hanks
1217,O,and
1218,O,filmed
1219,O,in
1220,O,and
1221,O,around
1222,O,chicago
1223,O,is
1224,B-Origin,based
1225,I-Origin,on
1226,I-Origin,an
1227,I-Origin,acclaimed
1228,I-Origin,graphic
1229,I-Origin,novel
1230,O,what
1231,O,is
1232,O,the
1233,O,movie
1234,O,with
1235,B-Actor,leonardo
1236,I-Actor,dicaprio
1237,O,that
1238,B-Plot,he
1239,I-Plot,goes
1240,I-Plot,into
1241,I-Plot,other
1242,I-Plot,people
1243,I-Plot,s
1244,I-Plot,dreams
1245,I-Plot,and
1246,I-Plot,tries
1247,I-Plot,to
1248,I-Plot,fix
1249,I-Plot,things
1250,O,which
1251,O,movie
1252,O,that
1253,O,came
1254,O,out
1255,O,in
1256,B-Year,1995
1257,O,features
1258,B-Plot,detectives
1259,I-Plot,following
1260,I-Plot,a
1261,I-Plot,serial
1262,I-Plot,killer
1263,I-Plot,who
1264,I-Plot,showcases
1265,I-Plot,dante
1266,I-Plot,s
1267,I-Plot,deadly
1268,I-Plot,sins
1269,O,what
1270,O,is
1271,O,the
1272,B-Year,2011
1273,O,stoner
1274,B-Genre,comedy
1275,O,that
1276,O,is
1277,O,the
1278,B-Relationship,latest
1279,I-Relationship,instalment
1280,O,in
1281,O,a
1282,O,series
1283,O,that
1284,O,follows
1285,B-Character_Name,john
1286,I-Character_Name,cho
1287,O,and
1288,B-Character_Name,kal
1289,I-Character_Name,penn
1290,O,as
1291,B-Plot,they
1292,I-Plot,set
1293,I-Plot,out
1294,I-Plot,on
1295,I-Plot,a
1296,I-Plot,quest
1297,I-Plot,to
1298,I-Plot,find
1299,I-Plot,the
1300,I-Plot,perfect
1301,I-Plot,christmas
1302,I-Plot,tree
1303,O,what
1304,O,s
1305,O,that
1306,B-Genre,scary
1307,O,movie
1308,O,about
1309,B-Plot,a
1310,I-Plot,serial
1311,I-Plot,killer
1312,I-Plot,who
1313,I-Plot,returns
1314,I-Plot,to
1315,I-Plot,a
1316,I-Plot,small
1317,I-Plot,town
1318,I-Plot,to
1319,I-Plot,kill
1320,I-Plot,everyone
1321,I-Plot,born
1322,I-Plot,on
1323,I-Plot,the
1324,I-Plot,day
1325,I-Plot,he
1326,I-Plot,supposedly
1327,I-Plot,died
1328,O,what
1329,O,is
1330,O,the
1331,B-Relationship,sequel
1332,O,to
1333,O,the
1334,B-Year,1987
1335,O,film
1336,O,about
1337,B-Plot,a
1338,I-Plot,stock
1339,I-Plot,broker
1340,I-Plot,seeking
1341,I-Plot,to
1342,I-Plot,restore
1343,I-Plot,his
1344,I-Plot,empire
1345,O,i
1346,O,am
1347,O,thinking
1348,O,of
1349,O,a
1350,O,film
1351,O,about
1352,O,a
1353,B-Plot,manufacturer
1354,I-Plot,who
1355,I-Plot,initially
1356,I-Plot,inadvertently
1357,I-Plot,saves
1358,I-Plot,thousands
1359,I-Plot,of
1360,I-Plot,jews
1361,I-Plot,from
1362,I-Plot,certain
1363,I-Plot,death
1364,I-Plot,during
1365,I-Plot,the
1366,I-Plot,holocaust
1367,O,what
1368,O,is
1369,O,the
1370,B-Genre,classic
1371,I-Genre,comedy
1372,O,about
1373,O,the
1374,O,old
1375,O,west
1376,O,that
1377,O,was
1378,O,written
1379,O,directed
1380,O,and
1381,O,starred
1382,B-Actor,mel
1383,I-Actor,brooks
1384,O,what
1385,O,is
1386,O,the
1387,O,movie
1388,O,starring
1389,B-Actor,robert
1390,I-Actor,de
1391,I-Actor,niro
1392,O,about
1393,B-Plot,a
1394,I-Plot,boxer
1395,I-Plot,s
1396,I-Plot,life
1397,I-Plot,that
1398,O,was
1399,O,directed
1400,O,by
1401,B-Director,martin
1402,I-Director,scorsese
1403,B-Actor,jeremy
1404,I-Actor,renner
1405,O,takes
1406,O,over
1407,O,for
1408,B-Actor,matt
1409,I-Actor,damon
1410,O,in
1411,O,the
1412,B-Opinion,highly
1413,I-Opinion,popular
1414,B-Plot,book
1415,I-Plot,and
1416,I-Plot,movie
1417,I-Plot,series
1418,I-Plot,about
1419,I-Plot,espionage
1420,O,in
1421,O,what
1422,O,movie
1423,B-Plot,the
1424,I-Plot,trials
1425,I-Plot,and
1426,I-Plot,effects
1427,I-Plot,the
1428,I-Plot,civil
1429,I-Plot,war
1430,I-Plot,have
1431,I-Plot,on
1432,I-Plot,a
1433,I-Plot,rich
1434,I-Plot,southern
1435,I-Plot,family
1436,O,what
1437,O,is
1438,O,the
1439,B-Year,2010
1440,B-Genre,american
1441,I-Genre,comedy
1442,O,film
1443,O,starring
1444,B-Actor,jonah
1445,I-Actor,hill
1446,O,and
1447,B-Actor,russell
1448,I-Actor,brand
1449,O,in
1450,O,which
1451,O,brand
1452,O,stars
1453,O,as
1454,O,the
1455,O,rocker
1456,B-Character_Name,aldous
1457,I-Character_Name,snow
1458,O,what
1459,O,s
1460,O,the
1461,B-Genre,teen
1462,I-Genre,comedy
1463,O,about
1464,B-Plot,a
1465,I-Plot,girl
1466,I-Plot,whose
1467,I-Plot,halloween
1468,I-Plot,night
1469,I-Plot,is
1470,I-Plot,ruined
1471,I-Plot,when
1472,I-Plot,her
1473,I-Plot,brother
1474,I-Plot,goes
1475,I-Plot,missing
1476,O,this
