id,tokens,ner_tags
59,"['what', 'is', 'the', 'name', 'of', 'the', 'movie', 'starring', 'jamie', 'foxx', 'in', 'which', 'he', 'plays', 'a', 'blind', 'piano', 'player']","[24, 24, 24, 24, 24, 24, 24, 24, 0, 12, 24, 24, 24, 24, 24, 7, 19, 19]"
60,"['in', 'this', '2011', 'steven', 'spielberg', 'animation', 'adventure', 'movie', 'a', 'boy', 'and', 'a', 'pirate', 'team', 'up', 'to', 'search', 'for', 'treasure']","[24, 24, 11, 3, 15, 4, 16, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
61,"['this', 'inspired', 'but', 'very', 'dark', 'film', 'revolving', 'around', 'the', 'spanish', 'revolution', 'explores', 'one', 'method', 'of', 'escape', 'in', 'your', 'own', 'mind']","[24, 5, 17, 17, 17, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
62,"['what', '2010', 'movie', 'features', 'four', 'guys', 'and', 'a', 'camera', 'chronicling', 'what', 'comes', 'naturally', 'to', 'all']","[24, 11, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
63,"['what', 'is', 'the', 'title', 'of', 'the', 'movie', 'where', 'kate', 'winslet', 'and', 'leonardo', 'dicaprio', 'find', 'love', 'on', 'a', 'ship', 'that', 'eventually', 'hits', 'an', 'iceberg', 'and', 'sinks']","[24, 24, 24, 24, 24, 24, 24, 24, 0, 12, 24, 0, 12, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
64,"['what', '2005', 'science', 'fiction', 'film', 'directed', 'by', 'jon', 'favreau', 'was', 'widely', 'but', 'inaccurately', 'depicted', 'as', 'a', 'sequel', 'to', 'jumanji']","[24, 11, 4, 16, 24, 24, 24, 3, 15, 24, 24, 24, 9, 21, 21, 21, 21, 21, 21]"
65,"['channing', 'tatum', 'shows', 'his', 'softer', 'side', 'in', 'this', '2012', 'romantic', 'drama', 'where', 'he', 'tries', 'to', 'bring', 'back', 'the', 'memory', 'of', 'his', 'wife', 'played', 'by', 'rachel', 'mcadams', 'after', 'she', 's', 'gone', 'through', 'a', 'car', 'accident']","[0, 12, 24, 24, 24, 24, 24, 24, 11, 4, 16, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 0, 12, 7, 19, 19, 19, 19, 19, 19, 19]"
66,"['johnny', 'depp', 'plays', 'a', 'weird', 'pale', 'detective', 'with', 'christina', 'ricci', 'and', 'there', 's', 'a', 'headless', 'horseman']","[0, 12, 24, 7, 19, 19, 19, 24, 0, 12, 24, 24, 24, 7, 19, 19]"
67,"['in', 'what', 'movie', 'does', 'an', 'eccentric', 'entrepreneur', 'bring', 'dinosaurs', 'to', 'life', 'on', 'a', '20', 'th', 'century', 'caribbean', 'island', 'as', 'a', 'themed', 'attraction']","[24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
68,"['what', 'is', 'the', 'movie', 'where', 'a', 'group', 'of', '3', 'male', 'friends', 'try', 'to', 'plot', 'and', 'murder', 'their', 'employers']","[24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
69,"['which', 'movie', 'is', 'it', 'where', 'the', 'old', 'mans', 'house', 'floats', 'away', 'with', 'a', 'ton', 'of', 'balloons', 'attached', 'to', 'it']","[24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
70,"['what', 'film', 'stars', 'humphrey', 'bogart', 'and', 'is', 'set', 'in', 'a', 'bar', 'in', 'morocco', 'during', 'world', 'war', 'ii']","[24, 24, 24, 0, 12, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
71,"['i', 'am', 'thinking', 'of', 'the', 'dramatic', 'film', 'based', 'on', 'the', 'stephen', 'king', 'short', 'story', 'about', 'a', 'man', 'wrongly', 'convicted', 'of', 'killing', 'his', 'wife']","[24, 24, 24, 24, 24, 4, 24, 24, 24, 24, 6, 18, 18, 18, 24, 7, 19, 19, 19, 19, 19, 19, 19]"
72,"['in', 'which', 'david', 'fincher', 'film', 'were', 'the', 'characters', 'forbidden', 'by', 'the', 'titular', 'organizations', 'first', 'two', 'rules', 'to', 'talk', 'about', 'it']","[24, 24, 3, 15, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
73,"['the', 'second', 'installment', 'based', 'on', 'the', 'popular', 'survival', 'horror', 'video', 'franchise', 'by', 'konami', 'is', 'named', 'what']","[24, 9, 21, 24, 24, 24, 5, 6, 18, 18, 18, 18, 18, 24, 24, 24]"
74,"['what', 'is', 'the', 'movie', 'where', 'captain', 'ahab', 'goes', 'on', 'a', 'quest', 'to', 'to', 'hunt', 'the', 'great', 'white', 'whale']","[24, 24, 24, 24, 24, 2, 14, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
75,"['nick', 'cage', 'and', 'his', 'wife', 'steal', 'a', 'baby', 'from', 'her', 'crib', 'in', 'the', 'middle', 'of', 'the', 'night']","[0, 12, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
76,"['ralph', 'macchio', 'learns', 'the', 'meaning', 'of', 'wax', 'on', 'wax', 'off', 'from', 'mr', 'miyagi', 'in', 'what', '80', 's', 'classic', 'hit']","[0, 12, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 11, 23, 4, 24]"
77,"['buddy', 'ebsen', 'was', 'originally', 'cast', 'as', 'the', 'scarecrow', 'then', 'switched', 'to', 'the', 'tin', 'man', 'for', 'this', '1939', 'classic', 'but', 'had', 'to', 'exit', 'the', 'role', 'due', 'to', 'an', 'allergic', 'reaction', 'to', 'his', 'costume']","[0, 12, 24, 24, 24, 24, 24, 2, 24, 24, 24, 24, 2, 14, 24, 24, 11, 5, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
78,"['this', 'classic', '1934', 'film', 'starring', 'fred', 'astaire', 'and', 'ginger', 'rogers', 'includes', 'the', 'cole', 'porter', 'song', 'night', 'and', 'day']","[24, 4, 11, 24, 24, 0, 12, 24, 0, 12, 24, 24, 10, 22, 22, 22, 22, 22]"
79,"['what', 's', 'the', 'movie', 'about', 'a', 'has', 'been', 'rock', 'star', 'who', 'gets', 'the', 'chance', 'to', 'make', 'a', 'comeback']","[24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
80,"['originally', 'a', 'musical', 'this', 'film', 'focuses', 'both', 'on', 'the', 'french', 'revolution', 'and', 'a', 'prisoner', 'jailer', 'conflict']","[24, 24, 24, 24, 24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19]"
81,"['i', 'am', 'thinking', 'of', 'the', 'award', 'winning', 'film', 'that', 'stars', 'russell', 'crow', 'as', 'a', 'nobel', 'prize', 'winning', 'college', 'professor', 'who', 'struggles', 'with', 'schizophrenia']","[24, 24, 24, 24, 24, 1, 13, 24, 24, 24, 0, 12, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19]"
82,"['i', 'am', 'thinking', 'of', 'a', 'movie', 'that', 'was', 'made', 'in', 'the', '70', 's', 'about', 'a', 'gigantic', 'shark', 'that', 'attacks', 'people', 'who', 'go', 'to', 'the', 'beach']","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 11, 23, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
83,"['name', 'a', 'movie', 'where', 'people', 'try', 'to', 'cheat', 'their', 'own', 'deaths']","[24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19]"
84,"['which', 'famous', 'film', 'about', 'guerrilla', 'warfare', 'takes', 'place', 'in', 'the', 'city', 'of', 'algiers', 'in', 'the', 'country', 'algeria']","[24, 24, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
85,"['1970', 's', 'horror', 'film', 'based', 'on', 'a', 'book', 'by', 'stephen', 'king', 'directed', 'by', 'stanley', 'kubrick', 'and', 'starring', 'jack', 'nicholson']","[11, 23, 4, 24, 6, 18, 18, 18, 18, 18, 18, 24, 24, 3, 15, 24, 24, 0, 12]"
86,"['this', 'comedy', 'has', 'four', 'guys', 'that', 'are', 'battling', 'ghosts', 'and', 'other', 'funny', 'creatures', 'in', 'new', 'york', 'city']","[24, 4, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
87,"['what', 'is', 'the', 'disney', 'movie', 'about', 'teenagers', 'gettng', 'ready', 'for', 'a', 'big', 'dance', 'in', 'their', 'high', 'school']","[24, 24, 24, 3, 24, 24, 7, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
